CUID,Species,Year,Region,LGL.counts
1207,Chinook,2021,Yukon,2755
1207,Chinook,2022,Yukon,817
1211,Chinook,1985,Yukon,3568
1211,Chinook,1986,Yukon,2474
1211,Chinook,1987,Yukon,1634
1211,Chinook,1988,Yukon,773
1211,Chinook,1989,Yukon,398
1211,Chinook,1990,Yukon,295
1211,Chinook,1991,Yukon,8771
1211,Chinook,1992,Yukon,5014
1211,Chinook,1993,Yukon,2843
1211,Chinook,1994,Yukon,4724
1211,Chinook,1995,Yukon,6821
1211,Chinook,1996,Yukon,4526
1211,Chinook,1997,Yukon,5596
1211,Chinook,1998,Yukon,766
1211,Chinook,1999,Yukon,4150
1211,Chinook,2000,Yukon,3767
1211,Chinook,2001,Yukon,17155
1211,Chinook,2002,Yukon,3248
1211,Chinook,2003,Yukon,4876
1211,Chinook,2004,Yukon,6628
1211,Chinook,2005,Yukon,4187
1211,Chinook,2006,Yukon,2116
1211,Chinook,2007,Yukon,1241
1211,Chinook,2008,Yukon,3432
1211,Chinook,2009,Yukon,1305
1211,Chinook,2010,Yukon,2273
1211,Chinook,2011,Yukon,4695
1211,Chinook,2012,Yukon,2065
1211,Chinook,2013,Yukon,2050
1211,Chinook,2014,Yukon,6680
1211,Chinook,2015,Yukon,4056
1211,Chinook,2016,Yukon,2330
1211,Chinook,2017,Yukon,2566
1211,Chinook,2018,Yukon,2980
1211,Chinook,2019,Yukon,3253
1211,Chinook,2020,Yukon,1374
1211,Chinook,2021,Yukon,1258
1211,Chinook,2022,Yukon,470
1212,Chinook,1985,Yukon,10698
1212,Chinook,1986,Yukon,12987
1212,Chinook,1987,Yukon,5745
1212,Chinook,1988,Yukon,6238
1212,Chinook,1989,Yukon,3703
1212,Chinook,1990,Yukon,3020
1212,Chinook,1991,Yukon,8774
1212,Chinook,1992,Yukon,8237
1212,Chinook,1993,Yukon,6007
1212,Chinook,1994,Yukon,8555
1212,Chinook,1995,Yukon,16390
1212,Chinook,1996,Yukon,13290
1212,Chinook,1997,Yukon,17025
1212,Chinook,1998,Yukon,5872
1212,Chinook,1999,Yukon,5320
1212,Chinook,2000,Yukon,6134
1212,Chinook,2001,Yukon,21547
1212,Chinook,2002,Yukon,10626
1212,Chinook,2003,Yukon,8043
1212,Chinook,2004,Yukon,6259
1212,Chinook,2005,Yukon,18277
1212,Chinook,2006,Yukon,15540
1212,Chinook,2007,Yukon,6835
1212,Chinook,2008,Yukon,8857
1212,Chinook,2009,Yukon,16079
1212,Chinook,2010,Yukon,5791
1212,Chinook,2011,Yukon,10795
1212,Chinook,2012,Yukon,5884
1212,Chinook,2013,Yukon,5343
1212,Chinook,2014,Yukon,11416
1212,Chinook,2015,Yukon,18199
1212,Chinook,2016,Yukon,10419
1212,Chinook,2017,Yukon,10418
1212,Chinook,2018,Yukon,5908
1212,Chinook,2019,Yukon,3994
1212,Chinook,2020,Yukon,5835
1212,Chinook,2021,Yukon,5221
1212,Chinook,2022,Yukon,2930
1209,Chinook,2014,Yukon,3066
1209,Chinook,2015,Yukon,4851
1209,Chinook,2016,Yukon,6665
1209,Chinook,2017,Yukon,1191
1209,Chinook,2018,Yukon,3414
1209,Chinook,2019,Yukon,4740
1209,Chinook,2020,Yukon,NA
1209,Chinook,2021,Yukon,409
1209,Chinook,2022,Yukon,349
