,CUID,Species,Year,LGL counts,Total run,Region
636,425,Lake Sockeye,1978,NA,NA,Nass
637,426,River Sockeye,1978,NA,NA,Nass
638,427,River Sockeye,1978,NA,NA,Nass
639,401,Chinook,1979,NA,NA,Nass
640,402,Chinook,1979,NA,NA,Nass
641,405,Chum,1979,NA,NA,Nass
642,406,Chum,1979,50937,84645,Nass
643,404,Chum,1979,11150,18528,Nass
644,408,Coho,1979,NA,NA,Nass
645,410,Coho,1979,NA,NA,Nass
646,409,Coho,1979,NA,NA,Nass
647,414,Pink (Odd),1979,82801,137594,Nass
648,219,Pink (Even),1979,NA,NA,Nass
649,412,Pink (Even),1979,NA,NA,Nass
650,415,Pink (Odd),1979,NA,NA,Nass
651,420,Lake Sockeye,1979,NA,NA,Nass
652,418,Lake Sockeye,1979,NA,NA,Nass
653,421,Lake Sockeye,1979,NA,NA,Nass
654,422,Lake Sockeye,1979,NA,NA,Nass
655,423,Lake Sockeye,1979,NA,NA,Nass
656,419,Lake Sockeye,1979,NA,NA,Nass
657,424,Lake Sockeye,1979,NA,NA,Nass
658,425,Lake Sockeye,1979,NA,NA,Nass
659,426,River Sockeye,1979,NA,NA,Nass
660,427,River Sockeye,1979,NA,NA,Nass
661,401,Chinook,1980,NA,NA,Nass
662,402,Chinook,1980,NA,NA,Nass
663,405,Chum,1980,NA,NA,Nass
664,406,Chum,1980,53767,96278,Nass
665,404,Chum,1980,20811,37265,Nass
666,408,Coho,1980,NA,NA,Nass
667,410,Coho,1980,NA,NA,Nass
668,409,Coho,1980,NA,NA,Nass
669,414,Pink (Odd),1980,NA,NA,Nass
670,219,Pink (Even),1980,1018335,1823475,Nass
671,412,Pink (Even),1980,NA,NA,Nass
672,415,Pink (Odd),1980,NA,NA,Nass
673,420,Lake Sockeye,1980,NA,NA,Nass
674,418,Lake Sockeye,1980,NA,NA,Nass
675,421,Lake Sockeye,1980,NA,NA,Nass
676,422,Lake Sockeye,1980,NA,NA,Nass
677,423,Lake Sockeye,1980,NA,NA,Nass
678,419,Lake Sockeye,1980,NA,NA,Nass
679,424,Lake Sockeye,1980,NA,NA,Nass
680,425,Lake Sockeye,1980,NA,NA,Nass
681,426,River Sockeye,1980,NA,NA,Nass
682,427,River Sockeye,1980,NA,NA,Nass
683,401,Chinook,1981,NA,NA,Nass
684,402,Chinook,1981,NA,NA,Nass
685,405,Chum,1981,2710,4873,Nass
686,406,Chum,1981,15721,28269,Nass
687,404,Chum,1981,7039,12657,Nass
688,408,Coho,1981,NA,NA,Nass
689,410,Coho,1981,NA,NA,Nass
690,409,Coho,1981,NA,NA,Nass
691,414,Pink (Odd),1981,327083,588130,Nass
692,219,Pink (Even),1981,NA,NA,Nass
693,412,Pink (Even),1981,NA,NA,Nass
694,415,Pink (Odd),1981,NA,NA,Nass
695,420,Lake Sockeye,1981,NA,NA,Nass
696,418,Lake Sockeye,1981,NA,NA,Nass
697,421,Lake Sockeye,1981,NA,NA,Nass
698,422,Lake Sockeye,1981,NA,NA,Nass
699,423,Lake Sockeye,1981,NA,NA,Nass
700,419,Lake Sockeye,1981,NA,NA,Nass
701,424,Lake Sockeye,1981,NA,NA,Nass
702,425,Lake Sockeye,1981,NA,NA,Nass
703,426,River Sockeye,1981,NA,NA,Nass
704,427,River Sockeye,1981,NA,NA,Nass
705,401,Chinook,1982,NA,NA,Nass
706,402,Chinook,1982,NA,NA,Nass
707,405,Chum,1982,6775,11755,Nass
708,406,Chum,1982,18622,32311,Nass
709,404,Chum,1982,11783,20444,Nass
710,408,Coho,1982,NA,NA,Nass
711,410,Coho,1982,NA,NA,Nass
712,409,Coho,1982,NA,NA,Nass
713,414,Pink (Odd),1982,NA,NA,Nass
714,219,Pink (Even),1982,1238837,2224594,Nass
715,412,Pink (Even),1982,NA,NA,Nass
716,415,Pink (Odd),1982,NA,NA,Nass
717,420,Lake Sockeye,1982,NA,NA,Nass
718,418,Lake Sockeye,1982,NA,NA,Nass
719,421,Lake Sockeye,1982,5000,15030,Nass
720,422,Lake Sockeye,1982,20000,57664,Nass
721,423,Lake Sockeye,1982,NA,NA,Nass
722,419,Lake Sockeye,1982,NA,NA,Nass
723,424,Lake Sockeye,1982,250000,640853,Nass
724,425,Lake Sockeye,1982,NA,NA,Nass
725,426,River Sockeye,1982,2701,6079,Nass
726,427,River Sockeye,1982,NA,NA,Nass
727,401,Chinook,1983,NA,NA,Nass
728,402,Chinook,1983,NA,NA,Nass
729,405,Chum,1983,5420,12560,Nass
730,406,Chum,1983,47754,110659,Nass
731,404,Chum,1983,16067,37232,Nass
732,408,Coho,1983,NA,NA,Nass
733,410,Coho,1983,NA,NA,Nass
734,409,Coho,1983,NA,NA,Nass
735,414,Pink (Odd),1983,939366,3110666,Nass
736,219,Pink (Even),1983,NA,NA,Nass
737,412,Pink (Even),1983,NA,NA,Nass
738,415,Pink (Odd),1983,NA,NA,Nass
739,420,Lake Sockeye,1983,NA,NA,Nass
740,418,Lake Sockeye,1983,NA,NA,Nass
741,421,Lake Sockeye,1983,500,2266,Nass
742,422,Lake Sockeye,1983,2000,6587,Nass
743,423,Lake Sockeye,1983,NA,NA,Nass
744,419,Lake Sockeye,1983,NA,NA,Nass
745,424,Lake Sockeye,1983,170000,487256,Nass
746,425,Lake Sockeye,1983,NA,NA,Nass
747,426,River Sockeye,1983,5402,8236,Nass
748,427,River Sockeye,1983,392,1906,Nass
749,401,Chinook,1984,NA,NA,Nass
750,402,Chinook,1984,NA,NA,Nass
751,405,Chum,1984,NA,NA,Nass
752,406,Chum,1984,56126,137897,Nass
753,404,Chum,1984,32134,78951,Nass
754,408,Coho,1984,NA,NA,Nass
755,410,Coho,1984,NA,NA,Nass
756,409,Coho,1984,NA,NA,Nass
757,414,Pink (Odd),1984,NA,NA,Nass
758,219,Pink (Even),1984,2468996,5497689,Nass
759,412,Pink (Even),1984,NA,NA,Nass
760,415,Pink (Odd),1984,NA,NA,Nass
761,420,Lake Sockeye,1984,NA,NA,Nass
762,418,Lake Sockeye,1984,NA,NA,Nass
763,421,Lake Sockeye,1984,1000,3737,Nass
764,422,Lake Sockeye,1984,6000,15957,Nass
765,423,Lake Sockeye,1984,NA,NA,Nass
766,419,Lake Sockeye,1984,NA,NA,Nass
767,424,Lake Sockeye,1984,140000,361606,Nass
768,425,Lake Sockeye,1984,NA,NA,Nass
769,426,River Sockeye,1984,15665,26343,Nass
770,427,River Sockeye,1984,229,921,Nass
771,401,Chinook,1985,NA,NA,Nass
772,402,Chinook,1985,NA,NA,Nass
773,405,Chum,1985,NA,NA,Nass
774,406,Chum,1985,38912,66385,Nass
775,404,Chum,1985,33707,57504,Nass
776,408,Coho,1985,NA,NA,Nass
777,410,Coho,1985,NA,NA,Nass
778,409,Coho,1985,NA,NA,Nass
779,414,Pink (Odd),1985,807670,1656933,Nass
780,219,Pink (Even),1985,NA,NA,Nass
781,412,Pink (Even),1985,NA,NA,Nass
782,415,Pink (Odd),1985,NA,NA,Nass
783,420,Lake Sockeye,1985,NA,NA,Nass
784,418,Lake Sockeye,1985,NA,NA,Nass
785,421,Lake Sockeye,1985,15000,40304,Nass
786,422,Lake Sockeye,1985,15000,32187,Nass
787,423,Lake Sockeye,1985,NA,NA,Nass
788,419,Lake Sockeye,1985,NA,NA,Nass
789,424,Lake Sockeye,1985,288663,572681,Nass
790,425,Lake Sockeye,1985,NA,NA,Nass
791,426,River Sockeye,1985,16205,23768,Nass
792,427,River Sockeye,1985,392,1106,Nass
793,401,Chinook,1986,2138,2709,Nass
794,402,Chinook,1986,36523,48017,Nass
795,405,Chum,1986,NA,NA,Nass
796,406,Chum,1986,42254,84086,Nass
